Unnamed: 0,PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
373,0.0,31.0,0.0,1447.0,DL,D,DL,3,3,YEG,CA,916,ANC,US,1,2010,3,9,3,F
374,0.0,111.0,0.0,1376.0,GFQ,I,GFQ,1,4,LRD,US,74,YQG,CA,936,2010,1,3,3,P
375,0.0,125.0,0.0,409.0,U7,I,U7,1,1,YXU,CA,936,RFD,US,41,2010,3,9,1,P
376,0.0,129.0,0.0,133.0,U7,I,U7,1,1,PHN,US,43,YHM,CA,936,2010,1,1,1,P
377,0.0,188.0,0.0,284.0,U7,I,U7,1,1,GRR,US,43,YHM,CA,936,2010,3,7,1,P
378,0.0,195.0,0.0,1058.0,U7,I,U7,1,1,SHV,US,72,YHM,CA,936,2010,1,3,3,P
379,0.0,227.0,0.0,284.0,U7,I,U7,1,1,GRR,US,43,YHM,CA,936,2010,2,4,1,P
380,0.0,305.0,0.0,1872.0,U7,I,U7,1,1,OLS,US,81,YHM,CA,936,2010,4,11,4,P
381,0.0,320.0,0.0,135.0,FX,D,FX,3,3,GFK,US,66,YWG,CA,926,2010,3,7,1,G
382,0.0,330.0,0.0,375.0,U7,I,U7,1,1,PSK,US,38,YQG,CA,936,2010,3,9,1,P
383,0.0,337.0,0.0,666.0,U7,I,U7,1,1,CHS,US,37,YQG,CA,936,2010,4,11,2,P
384,0.0,340.0,0.0,365.0,U7,I,U7,1,1,LUK,US,44,YHM,CA,936,2010,3,8,1,P
385,0.0,367.0,0.0,1534.0,U7,I,U7,1,1,LRD,US,74,YHM,CA,936,2010,3,7,4,P
386,0.0,400.0,0.0,133.0,U7,I,U7,1,1,YXU,CA,936,YIP,US,43,2010,1,3,1,P
387,0.0,412.0,0.0,796.0,U7,I,U7,1,1,YUL,CA,941,SDF,US,52,2010,3,8,2,P
388,0.0,427.0,0.0,305.0,U7,I,U7,1,1,LEX,US,52,YQG,CA,936,2010,4,11,1,P
389,0.0,438.0,0.0,133.0,U7,I,U7,1,1,YIP,US,43,YXU,CA,936,2010,2,4,1,P
390,0.0,444.0,0.0,460.0,U7,I,U7,1,1,YHM,CA,936,SDF,US,52,2010,1,1,1,P
391,0.0,454.0,0.0,1536.0,U7,I,U7,1,1,HRL,US,74,YHM,CA,936,2010,3,9,4,P
392,0.0,470.0,0.0,471.0,GFQ,I,GFQ,1,4,YHM,CA,936,RFD,US,41,2010,2,5,1,P
393,0.0,481.0,0.0,413.0,U7,I,U7,1,1,YXU,CA,936,SDF,US,52,2010,2,5,1,P
394,0.0,490.0,0.0,135.0,FX,D,FX,3,3,GFK,US,66,YWG,CA,926,2010,1,1,1,G
395,0.0,500.0,0.0,431.0,GFQ,I,GFQ,1,4,LEX,US,52,YHM,CA,936,2010,3,7,1,P
396,0.0,501.0,0.0,2070.0,U7,I,U7,1,1,SDM,US,91,YXU,CA,936,2010,3,9,5,P
397,0.0,522.0,0.0,194.0,U7,I,U7,1,1,YIP,US,43,YHM,CA,936,2010,1,3,1,P
398,0.0,556.0,0.0,1376.0,U7,I,U7,1,1,LRD,US,74,YQG,CA,936,2010,3,8,3,P
399,0.0,650.0,0.0,137.0,U7,I,U7,1,1,YHM,CA,936,YNG,US,44,2010,2,6,1,P
400,0.0,660.0,0.0,1641.0,U7,I,U7,1,1,ELP,US,74,YHM,CA,936,2010,4,10,4,P
401,0.0,684.0,0.0,397.0,U7,I,U7,1,1,GYY,US,42,YHM,CA,936,2010,3,8,1,P
402,0.0,720.0,0.0,194.0,U7,I,U7,1,1,YIP,US,43,YHM,CA,936,2010,4,10,1,P
403,0.0,735.0,0.0,135.0,FX,D,FX,3,3,GFK,US,66,YWG,CA,926,2010,3,8,1,G
404,0.0,756.0,0.0,1058.0,U7,I,U7,1,1,SHV,US,72,YHM,CA,936,2010,3,9,3,P
405,0.0,800.0,0.0,135.0,FX,D,FX,3,3,GFK,US,66,YWG,CA,926,2010,4,11,1,G
406,0.0,806.0,0.0,379.0,GFQ,I,GFQ,1,4,EVV,US,42,YQG,CA,936,2010,2,5,1,P
407,0.0,811.0,0.0,379.0,U7,I,U7,1,1,EVV,US,42,YQG,CA,936,2010,4,12,1,P
408,0.0,859.0,0.0,181.0,U7,I,U7,1,1,YKF,CA,936,YIP,US,43,2010,1,1,1,P
