DISTANCE,UNIQUE_CARRIER,ORIGIN,ORIGIN_WAC,DEST,DEST_WAC,YEAR,MONTH,CLASS
5.905361848054571,65,475,936,163,22,2014,7,0
7.155396301896734,83,475,936,152,74,2016,4,0
5.393627546352362,64,417,906,284,93,2012,8,0
7.801391320291485,12,334,91,363,941,2015,4,3
7.266128779556451,1,470,916,297,64,2013,12,2
6.1675164908883415,66,296,23,395,941,2013,8,0
7.270312886079025,29,249,63,397,906,2011,1,0
5.783825182329737,40,209,22,395,941,2013,8,0
6.118097198041348,58,335,93,407,916,2015,3,0
5.846438775057725,30,475,936,150,38,2014,2,2
6.985641817639208,71,201,91,397,906,2010,7,0
6.20455776256869,80,457,941,65,44,2011,6,0
6.274762021241939,17,108,43,395,941,2012,8,0
6.802394763324311,71,470,916,90,82,2014,12,0
7.586803535162581,71,459,906,152,74,2017,12,0
6.440946540632921,66,69,61,412,936,2015,11,0
5.783825182329737,17,209,22,395,941,2016,9,0
7.525639975041535,71,179,74,338,916,2016,12,0
7.234177179749849,71,470,916,232,41,2012,3,0
7.270312886079025,20,459,906,212,63,2017,1,0
7.3987862754199485,38,470,916,193,54,2012,9,1
6.9865664594064265,58,459,906,171,91,2014,7,0
7.182352111885263,71,99,82,412,936,2010,3,0
7.110696122978827,72,293,81,407,916,2013,1,0
6.396929655216146,84,76,44,395,941,2012,12,0
6.647688373563329,84,409,951,51,22,2012,1,0
5.834810737062605,0,169,22,393,936,2014,12,2
6.68586094706836,71,338,91,397,906,2018,12,0
7.405495663199472,19,470,916,83,52,2015,9,3
6.92951677076365,17,475,936,153,62,2010,4,0
6.68586094706836,58,459,906,286,91,2016,11,0
5.978885764901122,85,291,23,395,941,2017,4,0
6.251903883165888,34,158,43,368,936,2012,2,0
6.3784261836515865,85,475,936,68,36,2017,5,0
7.258412150595307,58,276,41,338,916,2011,9,0
6.324358962381311,17,475,936,245,41,2010,4,0
6.082218910376446,20,276,41,412,936,2010,9,0
6.48768401848461,58,441,921,212,63,2013,2,0
5.846438775057725,25,177,38,412,936,2017,11,0
4.852030263919617,64,335,93,397,906,2017,8,0
5.846438775057725,25,177,38,412,936,2011,7,0
7.76004068088038,71,177,38,397,906,2011,7,0
6.532334292222349,85,291,23,380,946,2011,5,0
6.095824562432225,34,126,21,375,941,2014,9,0
