Unnamed: 0,DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
33712,366.0,RP,D,RP,2,2,YYZ,CA,936,JFK,US,22,2014,3,7,1,F
48777,1280.0,YV,D,YV,2,2,YYZ,CA,936,IAH,US,74,2016,2,4,3,F
20981,219.0,QX,D,QX,2,2,YLW,CA,906,SEA,US,93,2012,3,8,1,F
37147,2443.0,5V,D,5V,1,1,SDM,US,91,YMX,CA,941,2015,2,4,5,P
25056,1430.0,09Q,D,09Q,1,4,YYC,CA,916,STL,US,64,2013,4,12,3,L
24549,476.0,S5,D,S5,2,2,PIT,US,23,YUL,CA,941,2013,3,8,1,F
14115,1436.0,CP (2),D,CP,2,2,MSP,US,63,YVR,CA,906,2011,1,1,3,F
27781,324.0,G7,D,G7,2,2,LGA,US,22,YUL,CA,941,2013,3,8,1,F
42358,453.0,OO,D,OO,3,3,SEA,US,93,YYC,CA,916,2015,1,3,1,F
32411,345.0,DL,D,DL,3,3,YYZ,CA,936,IAD,US,38,2014,1,2,1,L
4009,1080.0,UA,D,UA,3,3,LAX,US,91,YVR,CA,906,2010,3,7,3,F
13821,494.0,XE,D,XE,2,2,YUL,CA,941,CLE,US,44,2011,2,6,1,F
21868,530.0,9E,D,9E,2,2,DTW,US,43,YUL,CA,941,2012,3,8,2,F
35213,899.0,UA,D,UA,3,3,YYC,CA,916,DEN,US,82,2014,4,12,2,F
55153,1971.0,UA,D,UA,3,3,YVR,CA,906,IAH,US,74,2017,4,12,4,F
38307,626.0,S5,D,S5,2,2,CID,US,61,YYZ,CA,936,2015,4,11,2,F
47462,324.0,9E,D,9E,2,2,LGA,US,22,YUL,CA,941,2016,3,9,1,F
48808,1854.0,UA,D,UA,3,3,IAH,US,74,YEG,CA,916,2016,4,12,4,F
21022,1385.0,UA,D,UA,3,3,YYC,CA,916,ORD,US,41,2012,1,3,3,F
51700,1436.0,AA,D,AA,3,3,YVR,CA,906,MSP,US,63,2017,1,1,3,F
16185,1633.0,FX,D,FX,3,3,YYC,CA,916,MEM,US,54,2012,3,9,4,G
