PASSENGERS,FREIGHT,MAIL
1395.0,0.0,0.0
3419.0,0.0,0.0
3097.0,0.0,0.0
0.0,2379.0,0.0
46.0,0.0,0.0
16.0,0.0,0.0
3482.0,0.0,0.0
3261.0,0.0,0.0
3121.0,0.0,0.0
62.0,0.0,0.0
115.0,0.0,0.0
2988.0,0.0,0.0
6102.0,0.0,0.0
3652.0,2443.0,0.0
4875.0,1875.0,0.0
2.0,0.0,0.0
1401.0,0.0,0.0
3470.0,6021.0,0.0
3181.0,0.0,0.0
11.0,0.0,0.0
0.0,196920.0,34150.0
1823.0,0.0,0.0
465.0,0.0,0.0
6463.0,7794.0,2273.0
2.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
9464.0,5077.0,13161.0
0.0,20193.0,0.0
12.0,0.0,0.0
2159.0,0.0,0.0
4691.0,95.0,0.0
2.0,0.0,0.0
1108.0,0.0,0.0
2798.0,0.0,0.0
12.0,0.0,0.0
5135.0,21410.0,15.0
1873.0,0.0,0.0
132.0,0.0,0.0
5762.0,550.0,0.0
3285.0,0.0,0.0
3.0,0.0,0.0
48.0,0.0,0.0
3953.0,0.0,0.0
4137.0,0.0,0.0
11667.0,20193.0,56064.0
17.0,0.0,0.0
9564.0,134219.0,47984.0
72.0,0.0,0.0
44.0,0.0,0.0
1917.0,0.0,0.0
0.0,14625.0,0.0
3.0,0.0,0.0
22.0,0.0,0.0
0.0,8918.0,0.0
4.0,0.0,0.0
1890.0,0.0,0.0
2.0,0.0,0.0
6374.0,889.0,0.0
2881.0,2110.0,0.0
14.0,0.0,0.0
0.0,38130.0,0.0
1193.0,0.0,0.0
2245.0,0.0,0.0
5032.0,0.0,0.0
0.0,1539305.0,81061.0
2126.0,0.0,0.0
127.0,0.0,0.0
3843.0,0.0,0.0
8.0,0.0,0.0
12.0,0.0,0.0
0.0,8456.0,0.0
3474.0,0.0,0.0
0.0,1850.0,0.0
3.0,0.0,0.0
0.0,169950.0,0.0
4.0,0.0,0.0
0.0,1460298.0,0.0
1741.0,53.0,0.0
2133.0,0.0,0.0
4638.0,0.0,0.0
4.0,0.0,0.0
11683.0,108643.0,3194.0
3.0,0.0,0.0
13.0,0.0,0.0
467.0,0.0,0.0
67.0,0.0,0.0
106.0,0.0,0.0
2043.0,0.0,0.0
4.0,0.0,0.0
59.0,0.0,0.0
2716.0,0.0,0.0
5.0,0.0,0.0
5421.0,0.0,0.0
913.0,0.0,0.0
1903.0,0.0,0.0
0.0,2975.0,0.0
2515.0,0.0,0.0
1.0,0.0,0.0
1781.0,325.0,0.0
3.0,0.0,0.0
86.0,0.0,0.0
358.0,0.0,0.0
3064.0,0.0,0.0
4643.0,11562.0,6733.0
1.0,0.0,0.0
1016.0,0.0,0.0
37.0,0.0,0.0
74.0,0.0,0.0
5111.0,0.0,0.0
451.0,0.0,0.0
4410.0,0.0,0.0
3.0,0.0,0.0
1440.0,0.0,0.0
404.0,0.0,0.0
5060.0,0.0,0.0
80.0,0.0,0.0
4091.0,0.0,0.0
5.0,0.0,0.0
5.0,0.0,0.0
1.0,0.0,0.0
3525.0,0.0,0.0
57.0,0.0,0.0
1850.0,0.0,0.0
0.0,719.0,0.0
0.0,10164.0,0.0
1053.0,0.0,0.0
2081.0,0.0,0.0
0.0,1564912.0,0.0
0.0,454997.0,0.0
0.0,24051.0,0.0
157.0,0.0,0.0
24.0,0.0,0.0
5.0,0.0,0.0
0.0,400350.0,0.0
3437.0,175.0,0.0
0.0,17565.0,0.0
3157.0,0.0,0.0
1244.0,0.0,0.0
164.0,0.0,0.0
4250.0,5734.0,11112.0
0.0,549667.0,0.0
1.0,0.0,0.0
11244.0,3384.0,0.0
2718.0,377.0,0.0
4878.0,997.0,0.0
894.0,0.0,0.0
6.0,0.0,0.0
3737.0,0.0,0.0
1.0,0.0,0.0
1806.0,0.0,0.0
343.0,0.0,0.0
7913.0,0.0,0.0
3466.0,0.0,0.0
1.0,0.0,0.0
8.0,0.0,0.0
8.0,0.0,0.0
1531.0,0.0,0.0
2527.0,0.0,0.0
2.0,0.0,0.0
1172.0,0.0,0.0
5534.0,46.0,0.0
49.0,0.0,0.0
1042.0,0.0,0.0
4609.0,0.0,0.0
3422.0,0.0,0.0
63.0,0.0,0.0
6468.0,0.0,0.0
6392.0,0.0,0.0
2.0,0.0,0.0
162.0,0.0,0.0
2757.0,0.0,0.0
13.0,0.0,0.0
0.0,16287.0,0.0
51.0,0.0,0.0
6802.0,0.0,0.0
217.0,0.0,0.0
6809.0,1568.0,0.0
1483.0,0.0,0.0
1389.0,0.0,0.0
2.0,0.0,0.0
50.0,0.0,0.0
6.0,0.0,0.0
0.0,5149.0,0.0
7903.0,5185.0,0.0
2.0,0.0,0.0
9.0,0.0,0.0
1.0,400.0,0.0
4.0,0.0,0.0
1246.0,0.0,0.0
4861.0,0.0,0.0
112.0,0.0,0.0
59.0,0.0,0.0
5757.0,0.0,0.0
3314.0,0.0,0.0
297.0,0.0,0.0
6691.0,143827.0,1433.0
37.0,0.0,0.0
262.0,0.0,0.0
4453.0,1282.0,39615.0
2.0,0.0,0.0
2752.0,0.0,0.0
0.0,2240609.0,0.0
7190.0,8455.0,0.0
0.0,3116.0,2097.0
3576.0,216.0,41435.0
4.0,0.0,0.0
3912.0,0.0,0.0
4245.0,0.0,0.0
903.0,0.0,0.0
13.0,0.0,0.0
10033.0,3182.0,16800.0
7966.0,200.0,0.0
4653.0,0.0,0.0
29.0,0.0,0.0
8.0,0.0,0.0
1.0,0.0,0.0
876.0,0.0,0.0
1.0,0.0,0.0
11397.0,1810.0,0.0
1661.0,0.0,0.0
2418.0,0.0,0.0
2656.0,0.0,10.0
17.0,0.0,0.0
1621.0,0.0,0.0
0.0,63714.0,0.0
0.0,639458.0,158702.0
0.0,149714.0,0.0
1660.0,0.0,0.0
7960.0,25607.0,57669.0
2886.0,19951.0,0.0
2821.0,0.0,0.0
88.0,0.0,0.0
96.0,32419.0,0.0
131.0,0.0,0.0
0.0,9630.0,0.0
12.0,0.0,0.0
100.0,0.0,0.0
2345.0,0.0,0.0
2047.0,0.0,0.0
0.0,134505.0,1349.0
3525.0,0.0,0.0
2.0,0.0,0.0
0.0,10640.0,0.0
3598.0,0.0,0.0
2063.0,200.0,0.0
2.0,0.0,0.0
5912.0,0.0,0.0
2385.0,0.0,0.0
4094.0,2268.0,0.0
1080.0,0.0,0.0
773.0,0.0,0.0
2141.0,0.0,0.0
0.0,26968.0,53.0
2.0,0.0,0.0
6596.0,0.0,0.0
595.0,0.0,0.0
