DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
5.905361848054571,65,1,68,2,2,475,0,936,163,1,22,2014,3,7,1,0
7.155396301896734,83,1,86,2,2,475,0,936,152,1,74,2016,2,4,3,0
5.393627546352362,64,1,67,2,2,417,0,906,284,1,93,2012,3,8,1,0
7.8013913202914855,12,1,15,1,1,334,1,91,363,0,941,2015,2,4,5,3
7.266128779556451,1,1,1,1,4,470,0,916,297,1,64,2013,4,12,3,2
6.1675164908883415,66,1,69,2,2,296,1,23,395,0,941,2013,3,8,1,0
7.270312886079025,29,1,32,2,2,249,1,63,397,0,906,2011,1,1,3,0
5.783825182329737,40,1,43,2,2,209,1,22,395,0,941,2013,3,8,1,0
6.118097198041348,58,1,62,3,3,335,1,93,407,0,916,2015,1,3,1,0
5.846438775057725,30,1,33,3,3,475,0,936,150,1,38,2014,1,2,1,2
6.985641817639208,71,1,74,3,3,201,1,91,397,0,906,2010,3,7,3,0
6.20455776256869,80,1,83,2,2,457,0,941,65,1,44,2011,2,6,1,0
6.274762021241939,17,1,20,2,2,108,1,43,395,0,941,2012,3,8,2,0
6.802394763324311,71,1,74,3,3,470,0,916,90,1,82,2014,4,12,2,0
7.586803535162581,71,1,74,3,3,459,0,906,152,1,74,2017,4,12,4,0
6.440946540632921,66,1,69,2,2,69,1,61,412,0,936,2015,4,11,2,0
5.783825182329737,17,1,20,2,2,209,1,22,395,0,941,2016,3,9,1,0
7.5256399750415355,71,1,74,3,3,179,1,74,338,0,916,2016,4,12,4,0
7.234177179749849,71,1,74,3,3,470,0,916,232,1,41,2012,1,3,3,0
7.270312886079025,20,1,23,3,3,459,0,906,212,1,63,2017,1,1,3,0
7.3987862754199485,38,1,41,3,3,470,0,916,193,1,54,2012,3,9,4,1
6.9865664594064265,58,1,62,3,3,459,0,906,171,1,91,2014,3,7,3,0
7.182352111885263,71,1,74,3,3,99,1,82,412,0,936,2010,1,3,3,0
7.110696122978827,72,1,75,3,3,293,1,81,407,0,916,2013,1,1,3,0
6.396929655216146,84,1,87,2,2,76,1,44,395,0,941,2012,4,12,2,0
6.647688373563329,84,1,87,2,2,409,0,951,51,1,22,2012,1,1,2,0
5.834810737062605,0,1,0,1,6,169,1,22,393,0,936,2014,4,12,1,2
6.68586094706836,71,1,74,3,3,338,1,91,397,0,906,2018,4,12,2,0
7.405495663199472,19,2,22,2,2,470,0,916,83,1,52,2015,3,9,4,3
6.92951677076365,17,1,20,2,2,475,0,936,153,1,62,2010,2,4,3,0
6.68586094706836,58,1,62,3,3,459,0,906,286,1,91,2016,4,11,2,0
5.978885764901122,85,1,88,2,2,291,1,23,395,0,941,2017,2,4,1,0
6.251903883165888,34,1,37,2,2,158,1,43,368,0,936,2012,1,2,2,0
6.3784261836515865,85,1,88,2,2,475,0,936,68,1,36,2017,2,5,2,0
7.258412150595307,58,1,62,3,3,276,1,41,338,0,916,2011,3,9,3,0
6.324358962381311,17,1,20,2,2,475,0,936,245,1,41,2010,2,4,2,0
6.082218910376446,20,1,23,3,3,276,1,41,412,0,936,2010,3,9,1,0
6.48768401848461,58,1,62,3,3,441,0,921,212,1,63,2013,1,2,2,0
5.846438775057725,25,1,28,1,5,177,1,38,412,0,936,2017,4,11,1,0
4.852030263919617,64,1,67,2,2,335,1,93,397,0,906,2017,3,8,1,0
5.846438775057725,25,1,28,1,5,177,1,38,412,0,936,2011,3,7,1,0
7.76004068088038,71,1,74,3,3,177,1,38,397,0,906,2011,3,7,5,0
6.532334292222349,85,1,88,2,2,291,1,23,380,0,946,2011,2,5,2,0
6.095824562432225,34,1,37,3,3,126,1,21,375,0,941,2014,3,9,1,0
6.802394763324311,58,1,62,3,3,99,1,82,407,0,916,2018,4,11,2,0
7.470224135899966,20,1,23,3,3,101,1,74,397,0,906,2016,3,8,4,0
4.418840607796598,45,1,49,1,6,196,1,93,409,0,906,2011,3,7,1,0
7.1180162044653335,20,1,23,3,3,231,1,33,412,0,936,2011,4,12,3,0
6.091309882077698,17,1,20,2,2,191,1,22,375,0,941,2014,3,9,1,0
7.587817219993427,71,1,74,3,3,470,0,916,89,1,38,2013,1,1,4,0
5.869296913133774,58,1,62,3,3,466,0,936,232,1,41,2013,4,12,1,0
7.403061091090091,13,1,16,3,3,470,0,916,283,1,52,2016,4,10,4,1
5.783825182329737,9,2,11,1,1,238,1,21,395,0,941,2018,1,2,1,2
4.852030263919617,24,1,27,3,3,459,0,906,284,1,93,2011,1,3,1,0
7.3537223303996315,70,2,73,2,2,227,1,74,347,0,936,2014,2,6,4,3
6.293419278846481,84,3,87,2,2,313,1,36,412,0,936,2014,2,5,2,0
6.580639137284949,58,1,62,3,3,470,0,916,292,1,87,2012,2,4,2,0
7.213768308118642,30,1,33,3,3,18,1,34,350,0,951,2012,2,6,3,0
7.270312886079025,30,1,33,3,3,249,1,63,397,0,906,2013,2,5,3,0
7.234177179749849,71,1,74,3,3,276,1,41,407,0,916,2012,2,4,3,0
7.679251425953058,71,1,74,3,3,296,1,23,397,0,906,2014,2,6,5,0
6.898714534329988,13,1,16,3,3,460,0,926,283,1,52,2018,2,4,2,1
5.267858159063328,27,1,30,1,6,72,1,44,412,0,936,2011,2,6,1,0
5.3706380281276624,57,1,61,3,3,475,0,936,98,1,43,2010,2,5,1,0
6.56244409369372,58,1,62,3,3,276,1,41,398,0,926,2011,1,2,2,0
7.573017256052546,38,1,41,3,3,459,0,906,193,1,54,2015,3,7,4,1
6.421622267806518,18,1,21,2,2,126,1,21,350,0,951,2012,1,3,2,0
7.519692404116539,68,1,71,2,2,459,0,906,134,1,43,2010,2,4,4,2
6.927557906278317,58,1,62,3,3,99,1,82,338,0,916,2017,4,12,3,0
